id;title;tipo;plazas;anclajes;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/538";"CEPI AGUSTINA DE ARAGÓN";"Cerrado";"28";"14";2022-02-10T23:06:13Z;"-0.8734603447292004,41.68796655614793";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/778";"Hospital Royo Villanova";"Abierto";"14";"7";2022-02-10T23:06:19Z;"-0.8609978779688847,41.69288758431977";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/540";"CEPI ROSALES DEL CANAL";"Cerrado";"14";"7";2022-02-10T23:06:15Z;"-0.9403871979792155,41.63477592629457";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/541";"CEIP ROSALES DEL CANAL";"Cerrado";"42";"21";2022-02-10T23:06:15Z;"-0.9410644025385722,41.63597466412161";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/542";"CEPI ESCUELAS PÍAS SANTA INGRACIA";"Cerrado";"20";"10";2022-02-10T23:06:13Z;"-0.8709318109543785,41.633360829975636";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/543";"CEIP CESAR AUGUSTO";"Cerrado";"20";"10";2022-02-10T23:06:22Z;"-0.9057738124062438,41.63644378198754";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/544";"Colegio Cristo Rey Escolapios";"Cerrado";"10";"5";2022-02-10T23:06:14Z;"-0.8700921791233933,41.68723762340114";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/547";"CEIP JOSEFA AMAR Y BORBON ";"Cerrado";"22";"11";2022-02-10T23:06:14Z;"-0.8834354127485419,41.6753703042224";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/548";"CEIP JERÓNIMO BLANCAS 2015";"Cerrado";"12";"6";2022-02-10T23:06:13Z;"-0.9293195266099988,41.64121773147152";"//www.zaragoza.es/contenidos/iconos/aparcabici_recinto.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-bicicleta/782";"Plaza Emperador";"Abierto";"10";"5";2022-02-10T23:06:19Z;"-0.8993259318285348,41.63805609926025";"//www.zaragoza.es/contenidos/iconos/aparcabici.png"
