id,about,title,estado,estado_estacion,address 1,tipo_via_1,address 2,tipo_via_2,tipo_equipamiento,bicis_disponibles,anclajes_disponibles,longitud,latitud,last_updated,description,descripcion,icon
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/130,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=130,C/ Corona de Aragón - C/ Lorente,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Corona de Aragón ,Calle, Lorente,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,0,21,-0.8979132352053497,41.64401875747108,2022-03-08T23:48:16Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 0</li><li>Anclajes disponibles: 21</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi C/ Corona de Aragón - C/ Lorente,www.zaragoza.es/contenidos/iconos/bizi/sinbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/129,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=129,C/ Graus - C/ Unceta,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Graus ,Calle, Unceta,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,11,10,-0.9023541561440037,41.65257486851766,2022-03-08T23:48:16Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 11</li><li>Anclajes disponibles: 10</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi C/ Graus - C/ Unceta,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/128,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=128,C/ Bolivia - Pº Calanda,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Bolivia ,Calle, Calanda,Paseo,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,7,14,-0.9032981948382862,41.65055086387021,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi C/ Bolivia - Pº Calanda,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/127,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=127,Avda. Navarra - C/ Rioja,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Navarra ,Avenida, Rioja,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,18,3,-0.9086301769027029,41.655506954758415,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 18</li><li>Anclajes disponibles: 3</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi Avda. Navarra - C/ Rioja,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/126,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=126,C/ Julián Sánz Ibáñez - C/ Rioja,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Julián Sánz Ibáñez ,Calle, Rioja,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,7,13,-0.9109122408850956,41.65270895465404,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 7</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi C/ Julián Sánz Ibáñez - C/ Rioja,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/125,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=125,Via Univérsitas - C/ Hermanos Gambra,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Univérsitas ,Vía, Hermanos Gambra,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,3,18,-0.9092812760844171,41.64912091353588,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi Via Univérsitas - C/ Hermanos Gambra,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/124,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=124,Via Univérsitas - Avda. Duquesa Villahermosa,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Univérsitas ,Vía, Duquesa Villahermosa,Avenida,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,8,13,-0.9080123025840543,41.64638888203244,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi Via Univérsitas - Avda. Duquesa Villahermosa,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/123,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=123,Avda. San Juan Bosco - C/ La Milagrosa,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, San Juan Bosco ,Avenida, La Milagrosa,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,3,18,-0.904402304804864,41.643709825496686,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 3</li><li>Anclajes disponibles: 18</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi Avda. San Juan Bosco - C/ La Milagrosa,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/122,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=122,Avda. Gómez Laguna nº 6,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Gómez Laguna nº 6,Avenida,,desconocido,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,8,13,-0.9074513494930179,41.642748850195275,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 8</li><li>Anclajes disponibles: 13</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi Avda. Gómez Laguna nº 6,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/estacion-bicicleta/121,http://www.zaragoza.es/ciudad/viapublica/movilidad/bici/detalle_Bizi?oid=121,C/ Eduardo Ibarra - C/ Violante de Hungría,OPN,http://vocab.linkeddata.es/datosabiertos/kos/transporte/bicicleta-publica/tipo-estado-estacion/operativa, Eduardo Ibarra ,Calle, Violante de Hungría,Calle,http://vocab.linkeddata.es/datosabiertos/kos/urbanismo-infraestructuras/equipamiento/tipo-equipamiento/estacion-de-bicicletas,6,14,-0.9019123463941845,41.63909876457145,2022-03-08T23:48:15Z,<ul><li>Estado: Operativa</li><li>Bicis disponibles: 6</li><li>Anclajes disponibles: 14</li></ul><p>Actualizado: 23:48</p>,Datos de la estación bizi C/ Eduardo Ibarra - C/ Violante de Hungría,www.zaragoza.es/contenidos/iconos/bizi/conbicis.png
