id;idCapitulo;capitulo;aplicacion;previsionInicial;previsionModificacion;previsionDefinitivo;derechosReconocidos;derechosAnuladosYDevoluciones;derechosCancelados;derechosReconocidosNetos;recaudacionNeta;derechosPendientesCobro;excesoDefectoPrevision;fecha;concepto
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39700";"3";"Tasas, precios públicos y otros gastos";"CANON POR APROVECHAMIENTOS URBANISTICOS";"0";"0";"0";"178498.74";"0";"0";"178498.74";"178498.74";"0";"178498.74";"20111231";"39700"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39710";"3";"Tasas, precios públicos y otros gastos";"OTROS INGRESOS POR APROVECHAMIENTOS     URBANISTICOS";"0";"0";"0";"122000";"0";"0";"122000";"122000";"0";"122000";"20111231";"39710"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39800";"3";"Tasas, precios públicos y otros gastos";"INGRESOS POR DA¥OS EN BIENES MUNICIPALES (AMPLIABLE)";"0";"125573.52";"125573.52";"156328.92";"5867.08";"0";"150461.84";"150461.84";"0";"24888.32";"20111231";"39800"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39801";"3";"Tasas, precios públicos y otros gastos";"INGRESOS SEGURO DE DA¥OS MATERIALES (AMPLIABLE)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20111231";"39801"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39901";"3";"Tasas, precios públicos y otros gastos";"INGRESOS POR COSTAS PROCEDIMIENTO RECAUDATORIO (AMPLIABLE)";"0";"0";"0";"6115.06";"0";"0";"6115.06";"6115.06";"0";"6115.06";"20111231";"39901"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39902";"3";"Tasas, precios públicos y otros gastos";"EJECUCIONES SUBSIDIARIAS (INFRAESTRUCTURAS) (AMPLIABLE)";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20111231";"39902"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39903";"3";"Tasas, precios públicos y otros gastos";"EJECUCIONES SUBSIDIARIAS (URBANISMO) (AMPLIABLE)";"0";"220939.75";"220939.75";"535368.05";"11919.92";"0";"523448.13";"203397.77";"320050.36";"302508.38";"20111231";"39903"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39904";"3";"Tasas, precios públicos y otros gastos";"OTROS INGRESOS INDETERMINADOS";"1000";"0";"1000";"613";"0";"0";"613";"613";"0";"-387";"20111231";"39904"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39905";"3";"Tasas, precios públicos y otros gastos";"EJECUCIONES SUBSIDIARIAS (ALUMBRADO) (AMPLIABLE)";"0";"69097.07";"69097.07";"69995.68";"898.61";"0";"69097.07";"64055.23";"5041.84";"0";"20111231";"39905"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39906";"3";"Tasas, precios públicos y otros gastos";"IMPREVISTOS";"1000";"0";"1000";"315685.86";"0";"0";"315685.86";"315685.86";"0";"314685.86";"20111231";"39906"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39907";"3";"Tasas, precios públicos y otros gastos";"CONVENIO TRANSPORTE UTEBO";"175000";"0";"175000";"372009.56";"0";"0";"372009.56";"8.64";"372000.92";"197009.56";"20111231";"39907"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39908";"3";"Tasas, precios públicos y otros gastos";"INCAUTACION AVALES Y DEPOSITOS";"1000";"0";"1000";"224537";"0";"0";"224537";"224537";"0";"223537";"20111231";"39908"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39909";"3";"Tasas, precios públicos y otros gastos";"MINUTAS Y COSTAS JUDICIALES (AMPLIABLE)";"0";"22769.3";"22769.3";"156372.94";"3623.63";"0";"152749.31";"105005.41";"47743.9";"129980.01";"20111231";"39909"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39911";"3";"Tasas, precios públicos y otros gastos";"APORTACION I.A.S.S. RESERVA Y OCUPACION PLAZAS CASA DE AMPARO";"910000";"0";"910000";"643416.66";"0";"0";"643416.66";"643416.66";"0";"-266583.34";"20111231";"39911"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39913";"3";"Tasas, precios públicos y otros gastos";"BONIFICACIONES SEGUROS";"0";"0";"0";"71.4";"0";"0";"71.4";"71.4";"0";"71.4";"20111231";"39913"
"https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39914";"3";"Tasas, precios públicos y otros gastos";"CONVENIO CITYNET.: FIBRA OPTICA";"0";"0";"0";"3072.12";"0";"0";"3072.12";"0";"3072.12";"3072.12";"20111231";"39914"
