id,id_capitulo,capitulo,aplicacion,prevision_inicial,unidades_prevision_inicial,prevision_modificacion,unidades_prevision_modificacion,prevision_definitivo,unidades_prevision_definitivo,derechos_reconocidos,unidades_derechos_reconocidos,derechos_anulados_devoluciones,unidades_derechos_anulados_devoluciones,derechos_cancelados,unidades_derechos_cancelados,derechos_reconocidos_netos,unidades_derechos_reconocidos_netos,recaudacion_neta,unidades_recaudacion_neta,derechos_pendientes_cobro,unidades_derechos_pendientes_cobro,exceso_defecto_prevision,unidades_exceso_defecto_prevision,fecha,concepto
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39210,3,"Tasas, precios públicos y otros gastos",RECARGO EJECUTIVO,30000,euros,0,euros,30000,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,-30000,euros,2011-12-31,39210
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39211,3,"Tasas, precios públicos y otros gastos",RECARGO DE APREMIO,1655000,euros,0,euros,1655000,euros,1713296.34,euros,6210.49,euros,0,euros,1707085.85,euros,1703049.33,euros,4036.52,euros,52085.85,euros,2011-12-31,39211
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39300,3,"Tasas, precios públicos y otros gastos",INTERESES DE DEMORA,2000000,euros,0,euros,2000000,euros,1349871.44,euros,63329.74,euros,0,euros,1286541.7,euros,1173966.48,euros,112575.22,euros,-713458.3,euros,2011-12-31,39300
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39700,3,"Tasas, precios públicos y otros gastos",CANON POR APROVECHAMIENTOS URBANISTICOS,0,euros,0,euros,0,euros,178498.74,euros,0,euros,0,euros,178498.74,euros,178498.74,euros,0,euros,178498.74,euros,2011-12-31,39700
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39710,3,"Tasas, precios públicos y otros gastos",OTROS INGRESOS POR APROVECHAMIENTOS     URBANISTICOS,0,euros,0,euros,0,euros,122000,euros,0,euros,0,euros,122000,euros,122000,euros,0,euros,122000,euros,2011-12-31,39710
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39800,3,"Tasas, precios públicos y otros gastos",INGRESOS POR DA¥OS EN BIENES MUNICIPALES (AMPLIABLE),0,euros,125573.52,euros,125573.52,euros,156328.92,euros,5867.08,euros,0,euros,150461.84,euros,150461.84,euros,0,euros,24888.32,euros,2011-12-31,39800
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39801,3,"Tasas, precios públicos y otros gastos",INGRESOS SEGURO DE DA¥OS MATERIALES (AMPLIABLE),0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,2011-12-31,39801
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39901,3,"Tasas, precios públicos y otros gastos",INGRESOS POR COSTAS PROCEDIMIENTO RECAUDATORIO (AMPLIABLE),0,euros,0,euros,0,euros,6115.06,euros,0,euros,0,euros,6115.06,euros,6115.06,euros,0,euros,6115.06,euros,2011-12-31,39901
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39902,3,"Tasas, precios públicos y otros gastos",EJECUCIONES SUBSIDIARIAS (INFRAESTRUCTURAS) (AMPLIABLE),0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,0,euros,2011-12-31,39902
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39903,3,"Tasas, precios públicos y otros gastos",EJECUCIONES SUBSIDIARIAS (URBANISMO) (AMPLIABLE),0,euros,220939.75,euros,220939.75,euros,535368.05,euros,11919.92,euros,0,euros,523448.13,euros,203397.77,euros,320050.36,euros,302508.38,euros,2011-12-31,39903
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39904,3,"Tasas, precios públicos y otros gastos",OTROS INGRESOS INDETERMINADOS,1000,euros,0,euros,1000,euros,613,euros,0,euros,0,euros,613,euros,613,euros,0,euros,-387,euros,2011-12-31,39904
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39905,3,"Tasas, precios públicos y otros gastos",EJECUCIONES SUBSIDIARIAS (ALUMBRADO) (AMPLIABLE),0,euros,69097.07,euros,69097.07,euros,69995.68,euros,898.61,euros,0,euros,69097.07,euros,64055.23,euros,5041.84,euros,0,euros,2011-12-31,39905
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39906,3,"Tasas, precios públicos y otros gastos",IMPREVISTOS,1000,euros,0,euros,1000,euros,315685.86,euros,0,euros,0,euros,315685.86,euros,315685.86,euros,0,euros,314685.86,euros,2011-12-31,39906
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39907,3,"Tasas, precios públicos y otros gastos",CONVENIO TRANSPORTE UTEBO,175000,euros,0,euros,175000,euros,372009.56,euros,0,euros,0,euros,372009.56,euros,8.64,euros,372000.92,euros,197009.56,euros,2011-12-31,39907
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39908,3,"Tasas, precios públicos y otros gastos",INCAUTACION AVALES Y DEPOSITOS,1000,euros,0,euros,1000,euros,224537,euros,0,euros,0,euros,224537,euros,224537,euros,0,euros,223537,euros,2011-12-31,39908
https://www.zaragoza.es/sede/servicio/presupuesto/ingreso-corriente/20111231-39909,3,"Tasas, precios públicos y otros gastos",MINUTAS Y COSTAS JUDICIALES (AMPLIABLE),0,euros,22769.3,euros,22769.3,euros,156372.94,euros,3623.63,euros,0,euros,152749.31,euros,105005.41,euros,47743.9,euros,129980.01,euros,2011-12-31,39909
