id;title;description;plazas;lastUpdated;geometry;icon
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/169";"Estacionamiento para Motos";"ARIAS, 24";"2";2022-03-11T23:08:13Z;"-0.9085080337297776,41.65396360947344";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/170";"Estacionamiento para Motos";"LAGO, 13";"1";2022-03-11T23:08:16Z;"-0.9016424301074268,41.658633932777";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/171";"Estacionamiento para Motos";"ALONSO V, S/N";"14";2022-03-11T23:08:15Z;"-0.8701252968024472,41.65152122602402";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/172";"Estacionamiento para Motos";"ARIAS, 33";"4";2022-03-11T23:08:13Z;"-0.9085885019334388,41.65451996484383";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/173";"Estacionamiento para Motos";"ARIAS, 16";"5";2022-03-11T23:08:13Z;"-0.9085244517898129,41.65345630185826";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/174";"Estacionamiento para Motos";"ARIAS, 4";"5";2022-03-11T23:08:13Z;"-0.9086531091801152,41.65259032679446";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/175";"Estacionamiento para Motos";"JUAN JOSÉ LORENTE, 57";"3";2022-03-11T23:08:13Z;"-0.897595118223293,41.644388667410034";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/176";"Estacionamiento para Motos";"MARÍA DE LUNA, S/N";"14";2022-03-11T23:08:13Z;"-0.8845155765964654,41.68200018815257";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/177";"Estacionamiento para Motos";"MARÍA DE LUNA, S/N";"31";2022-03-11T23:08:13Z;"-0.8847792742077066,41.68303096818074";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/178";"Estacionamiento para Motos";"MARÍA DE LUNA, S/N";"36";2022-03-11T23:08:13Z;"-0.8885364530762788,41.68299975403349";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/179";"Estacionamiento para Motos";"MARIANO ESQUILLOR GÓMEZ, S/N";"15";2022-03-11T23:08:13Z;"-0.8872498456485455,41.68413027548809";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/180";"Estacionamiento para Motos";"MARIANO ESQUILLOR GÓMEZ, S/N";"3";2022-03-11T23:08:13Z;"-0.8868111564166294,41.68412779067443";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/181";"Estacionamiento para Motos";"MARIANO ESQUILLOR GÓMEZ, S/N";"13";2022-03-11T23:08:13Z;"-0.8868812860072922,41.68425733247693";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/182";"Estacionamiento para Motos";"MARIANO ESQUILLOR GÓMEZ, S/N";"11";2022-03-11T23:08:13Z;"-0.8872815631332758,41.684526782189366";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/183";"Estacionamiento para Motos";"RAMÓN SAINZ DE VARANDA, 15";"6";2022-03-11T23:08:13Z;"-0.9110938443312959,41.63751584967746";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/184";"Estacionamiento para Motos";"ALMAGRO, 7";"4";2022-03-11T23:08:13Z;"-0.8879747833853767,41.64837908740663";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/186";"Estacionamiento para Motos";"DE RANILLAS, S/N";"20";2022-03-11T23:08:14Z;"-0.8970603652236163,41.670295956328886";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/187";"Estacionamiento para Motos";"DE RANILLAS, S/N";"20";2022-03-11T23:08:14Z;"-0.8969785087823564,41.67005416526862";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/188";"Estacionamiento para Motos";"JOSÉ PELLICER, 6";"2";2022-03-11T23:08:14Z;"-0.8787634659871271,41.63777311575047";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/189";"Estacionamiento para Motos";"JOSÉ PELLICER, 8";"5";2022-03-11T23:08:14Z;"-0.8788481046120825,41.63780980365147";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/190";"Estacionamiento para Motos";"LAUSANA, 3DP";"5";2022-03-11T23:08:14Z;"-0.879882577012292,41.6378524032544";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/192";"Estacionamiento para Motos";"MAURICE RAVEL, 63";"6";2022-03-11T23:08:14Z;"-0.944697927683433,41.63832936456457";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
"https://www.zaragoza.es/sede/servicio/urbanismo-infraestructuras/equipamiento/aparcamiento-moto/193";"Estacionamiento para Motos";"GERTRUDIS GÓMEZ AVELLANEDA, F 1";"10";2022-03-11T23:08:14Z;"-0.8845651818725923,41.662336664539176";"http://www.zaragoza.es/contenidos/iconos/estacionamiento_motos.png"
